"","ObserveDate","WGS84Lon","WGS84Lat","engCounty","FamilyCommon","date"
"220","2013-11-26",120.488717,23.57445,"Chiayi County","Shrews","2013-11-26"
"221","2013-11-26",120.49245,23.5891,"Chiayi County","Perching Birds","2013-11-26"
"222","2013-11-26",120.891218,22.08796,"Pingtung County","Typical Snakes","2013-11-26"
"223","2013-11-26",120.511783,23.570483,"Chiayi County","Typical Snakes","2013-11-26"
"224","2013-11-26",120.492833,23.579417,"Chiayi County","Typical Snakes","2013-11-26"
"225","2013-11-26",120.521383,23.566983,"Chiayi County","Typical Snakes","2013-11-26"
"226","2013-11-26",120.49245,23.5891,"Chiayi County","Tortues","2013-11-26"
"227","2013-11-26",120.521383,23.566983,"Chiayi County","Shrikes","2013-11-26"
"228","2013-11-26",120.514083,23.5625,"Chiayi County","Ranids","2013-11-26"
"229","2013-11-26",120.514083,23.5625,"Chiayi County","Ranids","2013-11-26"
"230","2013-11-26",120.512367,23.566667,"Chiayi County","Ranids","2013-11-26"
"231","2013-11-26",120.521383,23.566983,"Chiayi County","Skinks","2013-11-26"
"232","2013-11-26",120.4567,23.57055,"Chiayi County","Amphisbaenians","2013-11-26"
"233","2013-11-26",120.488717,23.57445,"Chiayi County","Old World Flycatchers","2013-11-26"
"234","2013-11-26",120.75296,23.06787,"Kaohsiung County","Cobras","2013-11-26"
"235","2013-11-26",120.49245,23.5891,"Chiayi County","Cobras","2013-11-26"
"236","2013-11-24",121.397576,25.146018,"New Taipei City","Typical Snakes","2013-11-24"
"237","2013-11-24",120.38335,22.66091,"Kaohsiung County","Pit Vipers","2013-11-24"
"238","2013-11-24",120.337563,23.245626,"Tainan City","Doves","2013-11-24"
"239","2013-11-24",120.59115,22.657791,"Pingtung County","Doves","2013-11-24"
"240","2013-11-24",121.550775,25.100446,"Taipei City","Pit Vipers","2013-11-24"
"241","2013-11-24",120.58595,22.649712,"Pingtung County","Typical Snakes","2013-11-24"
"242","2013-11-24",120.336354,23.24357,"Tainan City","Perching Birds","2013-11-24"
"243","2013-11-23",120.497356,23.925556,"Changhua County","Typical Snakes","2013-11-23"
"244","2013-11-23",120.337434,23.244944,"Tainan City","Doves","2013-11-23"
"245","2013-11-23",120.33731,23.244863,"Tainan City","Doves","2013-11-23"
"246","2013-11-23",120.308908,23.266924,"Tainan City","Doves","2013-11-23"
"247","2013-11-23",120.303894,23.273356,"Tainan City","Typical Snakes","2013-11-23"
"248","2013-11-23",120.69082,22.80599,"Nantou County","Skinks","2013-11-23"
"249","2013-11-23",120.333822,23.240808,"Tainan City","Nightjars","2013-11-23"
"250","2013-11-22",120.788602,23.796281,"Nantou County","Pit Vipers","2013-11-22"
"251","2013-11-22",121.403286,25.045365,"New Taipei City","Typical Snakes","2013-11-22"
"252","2013-11-21",120.416851,23.565443,"Chiayi County","Rats","2013-11-21"
"253","2013-11-21",120.365521,23.222811,"Tainan City","Typical Snakes","2013-11-21"
"254","2013-11-21",120.364933,23.220031,"Tainan City","Typical Snakes","2013-11-21"
"255","2013-11-21",120.369546,23.23273,"Tainan City","Typical Snakes","2013-11-21"
"256","2013-11-20",120.42113,23.226292,"Tainan City","Pit Vipers","2013-11-20"
"257","2013-11-20",120.336342,23.243962,"Tainan City","Doves","2013-11-20"
"258","2013-11-20",120.410671,23.566347,"Chiayi County","Doves","2013-11-20"
"259","2013-11-20",120.336715,23.243953,"Tainan City","Doves","2013-11-20"
"260","2013-11-20",120.333561,23.240229,"Tainan City","Doves","2013-11-20"
"261","2013-11-20",120.333461,23.240098,"Tainan City","Doves","2013-11-20"
"262","2013-11-20",120.333023,23.239451,"Tainan City","Doves","2013-11-20"
"263","2013-11-20",120.416937,23.567763,"Chiayi County","Doves","2013-11-20"
"264","2013-11-20",120.336707,23.243926,"Tainan City","Bulbuls","2013-11-20"
"265","2013-11-20",120.336557,23.243918,"Tainan City","Bulbuls","2013-11-20"
"266","2013-11-20",120.420647,23.226696,"Tainan City","Typical Snakes","2013-11-20"
"267","2013-11-20",120.401378,23.230472,"Tainan City","Typical Snakes","2013-11-20"
"268","2013-11-20",120.439786,23.234702,"Tainan City","Ranids","2013-11-20"
"269","2013-11-20",120.421882,23.217344,"Tainan City","Pit Vipers","2013-11-20"
"270","2013-11-20",120.419478,23.222121,"Tainan City","Pit Vipers","2013-11-20"
"271","2013-11-20",120.416937,23.567763,"Chiayi County","Perching Birds","2013-11-20"
"272","2013-11-20",120.416937,23.567763,"Chiayi County","Perching Birds","2013-11-20"
"273","2013-11-20",120.416937,23.567763,"Chiayi County","Perching Birds","2013-11-20"
"274","2013-11-20",120.439507,23.224231,"Tainan City","Typical Snakes","2013-11-20"
"275","2013-11-20",120.334724,23.241959,"Tainan City","Rats","2013-11-20"
"276","2013-11-20",120.303226,23.296996,"Tainan City","Waxbills","2013-11-20"
"277","2013-11-20",120.336664,23.243925,"Tainan City","Perching Birds","2013-11-20"
"278","2013-11-20",120.416937,23.567763,"Chiayi County","Bufonids","2013-11-20"
"279","2013-11-20",120.410671,23.566347,"Chiayi County","Bufonids","2013-11-20"
"280","2013-11-20",121.207639,23.133667,"Taitung County","Pit Vipers","2013-11-20"
"281","2013-11-20",120.421398,23.219222,"Tainan City","Typical Snakes","2013-11-20"
"282","2013-11-20",120.42113,23.226262,"Tainan City","Typical Snakes","2013-11-20"
"283","2013-11-19",120.82119,23.82487,"Nantou County","Typical Snakes","2013-11-19"
"284","2013-11-19",120.700985,23.94337,"Nantou County","Typical Snakes","2013-11-19"
"285","2013-11-18",120.355485,23.246941,"Tainan City","Doves","2013-11-18"
"286","2013-11-18",120.609627,23.443876,"Chiayi County","Cobras","2013-11-18"
"287","2013-11-18",121.201383,24.900393,"Taoyuan County","Typical Snakes","2013-11-18"
"288","2013-11-18",120.83932,22.25107,"Taitung County","Mustelids","2013-11-18"
"289","2013-11-18",120.60246,23.463837,"Chiayi County","Typical Snakes","2013-11-18"
"290","2013-11-18",120.603054,23.462065,"Chiayi County","Typical Snakes","2013-11-18"
"291","2013-11-17",120.344254,23.263484,"Tainan City","Coots","2013-11-17"
"292","2013-11-16",120.520543,23.655368,"Yunlin County","Typical Snakes","2013-11-16"
"293","2013-11-16",120.351367,23.596333,"Yunlin County","Typical Snakes","2013-11-16"
"294","2013-11-16",121.086402,23.139896,"Taitung County","Pit Vipers","2013-11-16"
"295","2013-11-16",120.356483,23.54285,"Chiayi County","Doves","2013-11-16"
"296","2013-11-16",120.332083,23.595133,"Yunlin County","Doves","2013-11-16"
"297","2013-11-16",121.212806,23.134611,"Taitung County","Cobras","2013-11-16"
"298","2013-11-16",121.061515,23.15583,"Taitung County","Typical Snakes","2013-11-16"
"299","2013-11-16",120.552195,23.640103,"Yunlin County","Cobras","2013-11-16"
"300","2013-11-15",120.337241,23.244695,"Tainan City","Doves","2013-11-15"
"301","2013-11-15",120.506185,23.673375,"Yunlin County","Typical Snakes","2013-11-15"
